Season,Dayzero,Regionw,Regionx,Regiony,Regionz
1985,10/29/84,East,West,Midwest,Southeast
1986,10/28/85,East,Midwest,Southeast,West
1987,10/27/86,East,Southeast,Midwest,West
1988,11/2/87,East,Midwest,Southeast,West
1989,10/31/88,East,West,Midwest,Southeast
1990,10/30/89,East,Midwest,Southeast,West
1991,10/29/90,East,Southeast,Midwest,West
1992,11/4/91,East,West,Midwest,Southeast
1993,11/2/92,East,Midwest,Southeast,West
1994,11/1/93,East,Southeast,Midwest,West
1995,10/31/94,East,West,Midwest,Southeast
1996,10/30/95,East,Midwest,Southeast,West
1997,10/28/96,East,Southeast,Midwest,West
1998,10/27/97,East,West,Midwest,South
1999,10/26/98,East,Midwest,South,West
2000,11/1/99,East,South,Midwest,West
2001,10/30/00,East,West,Midwest,South
2002,10/29/01,East,Midwest,South,West
2003,11/4/02,East,South,Midwest,West
2004,11/3/03,Atlanta,Phoenix,EastRutherford,StLouis
2005,11/1/04,Albuquerque,Chicago,Austin,Syracuse
2006,10/31/05,Atlanta,Oakland,Minneapolis,WashingtonDC
2007,10/30/06,East,South,Midwest,West
2008,11/5/07,East,Midwest,South,West
2009,11/3/08,East,South,Midwest,West
2010,11/2/09,East,South,Midwest,West
2011,11/1/10,East,West,Southeast,Southwest
2012,10/31/11,East,Midwest,South,West
2013,11/5/12,East,South,Midwest,West
2014,11/4/13,East,South,Midwest,West
2015,11/3/14,East,South,Midwest,West
2016,11/2/15,East,Midwest,South,West
2017,10/31/16,East,West,Midwest,South
2018,10/30/17,TBDw,TBDx,TBDy,TBDz